STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,ML_ANOMALY_RATE_PERCENT,FEATURE,ANOMALY_MEDIAN,NORMAL_MEDIAN,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
Arunachal Pradesh,303,7,2.31023102310231,MP_MEDIAN_SANCTION_AMOUNT,700000.0,700000.0,99250.5124598638,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,CONSTITUENCY_TOTAL_SANCTIONED,133193323.0,133193323.0,19319268.56986961,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,CONSTITUENCY_TOTAL_DISBURSED,98534470.0,98534470.0,4268493.5869997265,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,CONSTITUENCY_AVG_SANCTION,802369.4156626506,802369.4156626506,41091.92995960074,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,PEER_COUNT,1.0,1.0,3.4050701868763036,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,SANCTION_TO_PEER_MEDIAN,1.0,1.0,0.15075309124318606,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,CATEGORY_WORK_COUNT,102324.0,102324.0,16386.460005656954,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,ACTIVITY_WORK_COUNT,1.0,1.0,821.0729211292544,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,NO_PAYMENT_RECORD,0.0,0.0,0.4051743882934813,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MULTIPLE_VENDORS,0.0,0.0,0.3923220978901133,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,PAYMENT_COUNT_GE_5,0.0,0.0,0.11565503859477608,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,VENDOR_COUNT_GE_5,0.0,0.0,0.0820600542076616,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MISSING_FIELD_COUNT,1.0,1.0,2.0882033474590025,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,DATA_COMPLETENESS_RATIO,0.9090909090909092,0.9090909090909092,0.18983666795081844,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,RECOMMENDATION_YEAR,2025.0,2025.0,0.6927988340505127,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,RECOMMENDATION_MONTH,8.0,8.0,2.8317533970807114,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,AVERAGE_PAYMENT_ABOVE_1M,0.0,0.0,0.28353827479779375,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,HOUSE_OF_PARLIAMENT,2.0,2.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,AVERAGE_RATING,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,ACTUAL_VS_DISBURSED_RATIO,1.0,1.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,RECOMMENDED_TO_SANCTION_DIFFERENCE,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,SANCTION_TO_RECOMMENDED_RATIO,1.0,1.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,HAS_ACTUAL_END_DATE,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,ACTUAL_MINUS_DISBURSED,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,STATE_WORK_COUNT,303.0,303.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,STATE_TOTAL_RECOMMENDED,228456331.0,228456331.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,STATE_TOTAL_SANCTIONED,227456331.0,227456331.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,STATE_TOTAL_DISBURSED,188467486.0,188467486.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,DISBURSED_TO_PEER_MEDIAN,1.0,1.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,PAYMENT_COUNT_GE_10,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,VENDOR_COUNT_GE_10,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,NEGATIVE_RECOMMENDATION_TO_SANCTION,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,NEGATIVE_SANCTION_TO_PAYMENT,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,COMPLETION_BEFORE_LAST_PAYMENT,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,ACTUAL_ABOVE_SANCTION,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,DISBURSED_ABOVE_SANCTION,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,DISBURSED_MINUS_ACTUAL,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,SANCTION_ABOVE_2X_PEER_MEDIAN,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,SANCTION_ABOVE_5X_PEER_MEDIAN,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,DISBURSED_ABOVE_2X_PEER_MEDIAN,0.0,0.0,0.0,,
Arunachal Pradesh,303,7,2.31023102310231,TOTAL_DISBURSED_ABOVE_5M,0.0,0.0,0.0,,
Assam,2290,72,3.14410480349345,MULTIPLE_PAYMENTS,1.0,0.0,0.45729039235615326,2.186794248721425,2.186794248721425
Assam,2290,72,3.14410480349345,FIRST_PAYMENT_YEAR,2026.0,2025.0,0.5369676030958688,1.862309745009817,1.862309745009817
