WORK_ID,STATE_NAME,CONSTITUENCY,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,SANCTION_AMOUNT,ACTUAL_AMOUNT,TOTAL_FUND_DISBURSED_AMT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,PEER_COUNT,PEER_MEDIAN_SANCTION,SANCTION_TO_PEER_MEDIAN,SANCTION_PEER_Z_SCORE,DATA_COMPLETENESS_RATIO,IF_RAW_SCORE,IF_DECISION_SCORE,ML_PERCENTILE,ML_ANOMALY_STRENGTH,ML_SEVERITY,RULE_AGREEMENT,STATISTICAL_AGREEMENT,DETECTOR_AGREEMENT_COUNT
269917,Uttarakhand,ALMORA(SC),Ajay Tamta,Normal/Others,WS/MP477/2026-2027/269917-Construction of footpaths and pedestrian ways,100000.0,,63096.0,13.0,13.0,1,100000.0,1.0,,0.8181818181818181,-0.6583104760082048,-0.126532368748629,99.9177167350766,0.6583104760082048,HIGH,True,True,3
177536,Tripura,TRIPURA WEST,BIPLAB KUMAR DEB,Normal/Others,WS/MP18197/2025-2026/177536-Construction of buildings for sports facilities,11517641.0,,10079995.0,4.0,2.0,1,11517641.0,1.0,,0.8181818181818181,-0.6582856233444871,-0.1265075160849114,99.91675995292633,0.6582856233444871,HIGH,False,False,1
156480,Goa,SOUTH GOA,CAPTAIN VIRIATO FERNANDES,Normal/Others,WS/MP18052/2025-2026/156480-Development of playground,2300000.0,2069969.0,2069969.0,1.0,1.0,1,2300000.0,1.0,,1.0,-0.6578144708446525,-0.1260363635850767,99.91580317077604,0.6578144708446525,HIGH,False,False,1
162520,Tamil Nadu,PERAMBALUR,ARUN NEHRU,Normal/Others,WS/MP18180/2025-2026/162520-Construction of rooms and halls in school and colleges,4350000.0,4349802.0,4349802.0,3.0,2.0,1,4350000.0,1.0,,1.0,-0.6575107047334746,-0.1257325974738988,99.91484638862578,0.6575107047334746,HIGH,False,False,1
186682,Jammu And Kashmir,SRINAGAR,AGA SYED RUHULLAH MEHDI,Normal/Others,WS/MP18260/2025-2026/186682-Street lights,700000.0,495016.0,495016.0,2.0,1.0,1,700000.0,1.0,,0.9090909090909092,-0.6569502258478351,-0.1251721185882593,99.91388960647552,0.6569502258478351,HIGH,True,False,2
146592,Madhya Pradesh,KHANDWA,Gyaneshwar Patil,Normal/Others,WS/MP643/2024-2025/146592-Construction of buildings for community cultural activities,1500000.0,,1335428.0,37.0,12.0,1,1500000.0,1.0,,0.8181818181818181,-0.6569319562927842,-0.1251538490332084,99.91293282432522,0.6569319562927842,HIGH,True,True,3
208000,Assam,Sonitpur,RANJIT DUTTA,Normal/Others,WS/MP18029/2025-2026/208000-Construction of community centers and community halls,2000000.0,782368.0,782368.0,2.0,1.0,1,2000000.0,1.0,,0.9090909090909092,-0.656349635183476,-0.1245715279239002,99.91197604217496,0.656349635183476,HIGH,False,False,1
228859,Rajasthan,BHARATPUR(SC),SANJNA JATAV,Normal/Others,"WS/MP18161/2025-2026/228859-Construction of roads, link roads, pathways or any other road with or without drainage system",600000.0,598857.0,598857.0,20.0,20.0,1,600000.0,1.0,,0.9090909090909092,-0.6562858527983491,-0.1245077455387733,99.91101926002467,0.6562858527983491,HIGH,True,True,3
211166,Jammu And Kashmir,JAMMU,Shri Jugal Kishore Sharma,Normal/Others,WS/MP331/2025-2026/211166-Construction of public toilets and bathrooms,500000.0,314500.0,314500.0,1.0,1.0,1,500000.0,1.0,,1.0,-0.656228573771003,-0.1244504665114272,99.91006247787442,0.656228573771003,HIGH,False,False,1
199511,Odisha,BHUBANESWAR,Smt Aparajita Sarangi,Normal/Others,WS/MP300/2025-2026/199511-Construction of public libraries and reading rooms,1000000.0,,768619.0,8.0,4.0,1,1000000.0,1.0,,0.8181818181818181,-0.6561089837195355,-0.1243308764599597,99.90910569572414,0.6561089837195355,HIGH,True,False,2
134981,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,Normal/Others,WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,9900000.0,9900000.0,9900000.0,15.0,1.0,1,9900000.0,1.0,,0.9090909090909092,-0.6556218499364431,-0.1238437426768673,99.90814891357388,0.6556218499364431,HIGH,True,True,3
206361,Maharashtra,RATNAGIRI-SINDHUDURG,NARAYAN TATU RANE,Normal/Others,"WS/MP18131/2025-2026/206361-Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,500000.0,500000.0,1.0,1.0,1,1000000.0,1.0,,1.0,-0.6553196156811055,-0.1235415084215297,99.9071921314236,0.6553196156811055,HIGH,False,False,1
153634,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG,Normal/Others,WS/MP18311/2024-2025/153634-Construction of community centers and community halls,700000.0,,408217.0,9.0,3.0,1,700000.0,1.0,,0.8181818181818181,-0.6551776806890373,-0.1233995734294615,99.90623534927332,0.6551776806890373,HIGH,True,False,2
178231,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,Normal/Others,WS/MP18103/2025-2026/178231-Construction of footpaths and pedestrian ways,1724500.0,1163014.0,1163014.0,2.0,1.0,1,1724500.0,1.0,,0.9090909090909092,-0.6550092947079359,-0.1232311874483601,99.90527856712306,0.6550092947079359,HIGH,False,False,1
