FEATURE,ANOMALY_COUNT,NORMAL_COUNT,ANOMALY_MEDIAN,NORMAL_MEDIAN,MEDIAN_RATIO,MEDIAN_DIFFERENCE_PERCENT,ANOMALY_MEAN,NORMAL_MEAN,ANOMALY_P95,NORMAL_P95,ANOMALY_P99,NORMAL_P99,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
EXPENDITURE_DURATION_DAYS,2574,52410,1.0,0.0,,,55.56099456099456,31.016332760923486,260.3499999999999,208.0,402.80999999999995,341.0,75.62785921178238,0.013222640577458073,0.013222640577458073
ACTUAL_TO_SANCTION_RATIO,1303,32327,0.9994818694601127,1.0,0.9994818694601127,-0.051813053988725155,0.8824130080464765,0.996069528587805,1.0,1.0,1.0,1.0,0.042747004436736,-0.012120861957802582,0.012120861957802582
FLAG,2613,101904,1.0,1.0,1.0,0.0,1.0,1.0051028418904067,1.0,1.0,1.0,1.0,0.07125203656740887,0.0,0.0
UNIQUE_VENDOR_COUNT,2574,52410,1.0,1.0,1.0,0.0,3.5473970473970473,1.0719519175729824,13.0,1.0,21.0,3.0,0.4620677835816913,0.0,0.0
UNIQUE_VENDOR_NAME_COUNT,2574,52410,1.0,1.0,1.0,0.0,3.5264180264180265,1.0713604273993513,13.0,1.0,21.0,3.0,0.4599454011237127,0.0,0.0
PAYMENT_IN_PROGRESS_COUNT,2574,52410,0.0,0.0,,,0.5116550116550117,0.03445907269605037,2.0,0.0,9.0,1.0,0.18292918513313491,0.0,0.0
STATE_AVG_WORK_COST,2613,101904,493070.1158484055,493070.1158484055,1.0,0.0,549587.0781654621,545609.7061191079,966504.9858827186,966504.9858827186,2625000.0,998374.9461921096,235160.51381180386,0.0,0.0
PAYMENT_IN_PROGRESS_RATIO,2574,52410,0.0,0.0,,,0.24404233071779274,0.029600267124594543,1.0,0.0,1.0,1.0,0.16246005756561607,0.0,0.0
PAYMENT_SUCCESS_RATIO,2574,52410,1.0,1.0,1.0,0.0,0.7559576692822072,0.9703997328754056,1.0,1.0,1.0,1.0,0.16246005756561607,0.0,0.0
LAST_PAYMENT_TO_COMPLETION_DAYS,365,1551,0.0,0.0,,,6.701369863013698,9.134107027724049,76.80000000000001,62.0,326.0,190.5,39.02627820839261,0.0,0.0
AVERAGE_RATING,1303,32327,0.0,0.0,,,0.0,0.00024747115414359516,0.0,0.0,0.0,0.0,0.02942982483514972,0.0,0.0
IS_COMPLETED,2613,101904,0.0,0.0,,,0.49866054343666283,0.3172299419061077,1.0,1.0,1.0,1.0,0.46540007667285216,0.0,0.0
HAS_ACTUAL_AMOUNT,2613,101904,0.0,0.0,,,0.49866054343666283,0.3172299419061077,1.0,1.0,1.0,1.0,0.46540007667285216,0.0,0.0
HAS_ACTUAL_END_DATE,2613,101904,0.0,0.0,,,0.14121699196326062,0.01522020725388601,1.0,0.0,1.0,1.0,0.12242834488591557,0.0,0.0
PAYMENTS_PER_VENDOR,2574,52410,1.0,1.0,1.0,0.0,1.6514595611529599,1.2341323902199688,3.333333333333333,2.0,7.269999999999982,3.0,0.539949645415152,0.0,0.0
PEER_COUNT,2613,101904,1.0,1.0,1.0,0.0,1.0,104.02182446223897,1.0,679.0,1.0,2163.0,344.6207562289349,0.0,0.0
CATEGORY_WORK_COUNT,2613,101904,102324.0,102324.0,1.0,0.0,98764.87868350555,100239.04520921652,102324.0,102324.0,102324.0,102324.0,14370.111268383502,0.0,0.0
SANCTION_TO_PEER_MEDIAN,2613,101384,1.0,1.0,1.0,0.0,1.0,20.83450842611619,1.0,1.411764705882353,1.0,3.7593984962406015,4441.481019736597,0.0,0.0
PAYMENT_COUNT_GE_5,2613,101904,0.0,0.0,,,0.33218522770761577,0.00535798398492699,1.0,0.0,1.0,0.0,0.07300224852757645,0.0,0.0
MULTIPLE_VENDORS,2613,101904,0.0,0.0,,,0.42862610026789133,0.020126785994661642,1.0,0.0,1.0,1.0,0.1404346538936131,0.0,0.0
NO_PAYMENT_RECORD,2613,101904,0.0,0.0,,,0.014925373134328358,0.48569241639189825,0.0,1.0,1.0,1.0,0.49979770343199964,0.0,0.0
ACTIVITY_WORK_COUNT,2613,101904,1.0,1.0,1.0,0.0,1.0,571.3447362223269,1.0,3719.0,1.0,4616.0,1300.6497022916535,0.0,0.0
MISSING_FIELD_COUNT,2613,101904,2.0,2.0,1.0,0.0,1.4110218140068886,3.4062843460511854,2.0,6.0,4.0,6.0,2.176033273207848,0.0,0.0
PAYMENT_COUNT_GE_10,2613,101904,0.0,0.0,,,0.20015308075009566,0.0004121526142251531,1.0,0.0,1.0,0.0,0.02029745765703097,0.0,0.0
VENDOR_COUNT_GE_10,2613,101904,0.0,0.0,,,0.11595866819747416,9.813157481551264e-05,1.0,0.0,1.0,0.0,0.009905700778091608,0.0,0.0
